alias;content_DE;content_DE_HTML;ext_lnk;Global_ID;image_lnk;lnk;meta_description;Modul;Published;Sortorder;titel
Bestellung;"Artikel auswählen
Um deine gewünschten Artikel zu bestellen, musst du in der jeweiligen Kategorie den gewünschten Artikel anklicken. Bei den meisten Artikeln stehen dir mehrere
Farb,- Größen- und Mengenangaben zur Verfügung, aus denen du auswählen kannst. Anschließend klickst du auf den Button ""in den Warenkorb"".  

Verfügbarkeit
Wenn du einen bestimmten Artikel ausgewählt hast, kannst du unter dem Link ""Verfügbarkeit"" erfahren, ob der Artikel in deiner gewünschten Farbe und Größe verfügbar ist, bzw. wie lange die vorr. Lieferzeit beträgt.
Alle Produkte werden erst mit Ihrer Bestellung von uns individuell bedruckt.

Größe auswählen:
Viele unserer Artikel kommen von US Herstellern. Deshalb geben wir alle Produkte in US Größen an. Für Textilen gilt folgende Umrechnung:

Kindergrößen (PeeWee)
YS = 128, YM = 140, YL = 152, YXL = 164
Erwachsenen Größen (Adult)
XS = 34, S = 36, M = 38, L = 40, XL = 42

Die Umrechnung für die Schuhe entnehme bitte der entsprechenden Größentabelle, 
die du bei den einzelnen Modellen findest.
Einige Artikel fallen besonders groß- oder klein aus, worauf wir in der Produktbeschreibung explizit hinweisen. Unter der Beschreibung findest du ebenfalls Hinweise zu der Beschaffenheit der Produkte.

Warenkorb
Wenn du einen Artikel in den Warenkorb gelegt hast, wirst du automatisch zum Warenkorb weitergeleitet. Hier findest du deine Bestellübersicht. 
Du kannst entweder auf den Button ""weiter shoppen"" gehen und weitere Artikel in den Warenkorb legen oder direkt zur Kasse gehen. Im Warenkorb kannst du ebenfalls Produkte direkt aus deinem Warenkorb entfernen. Dein Warenkorb steht dir außerdem immer oben rechts unter ""Mein Warenkorb"" zur Verfügung.

Bestellen
Bevor der Bestellvorgang abgeschlossen werden kann musst du dich mit deinem vorhandenen Kunden-Account anmelden (Ich habe ein Kundenkonto), oder du erstellst dir einen neuen Kunden-Account. Solltest du dein Kennwort vergessen haben, benutze den Link „Kennwort vergessen“ und wir schicken dir an deine eMail Adresse dein aktuelles Kennwort.
Nach Eingabe der Rechnungs- und Lieferanschrift musst du die Zahlungsweise auswählen. Es stehen dir hier verschiedene Möglichkeiten zur Verfügung. Zudem kannst du in diesem Schritt auch Onlinegutscheine, die wir mit deiner Bestellung einlösen sollen, eingeben. Oder du kannst uns direkt eine Nachricht im Feld Bemerkungen schicken, falls du eine Frage zu einem Produkt hast.
Mit dem Button „weiter“ kommst du zur Bestellübersicht. Überprüfe deine Angaben, bestätige das du unsere AGBs gelesen hast und schicke deine Bestellung ab.
Als nächstes bekommst du automatisch von unserem System eine Bestätigung für den Eingang deiner Bestellung an deine eMail Adresse geschickt. 
Bei Zahlungsweise Paypal erfolgt automatisch eine Weiterleitung an Paypal. Bitte beachte, das Online-Gutscheine erst mit der Auftragsbestätigung berücksichtigt werden.
Die Auftragsbestätigung wird dir am gleichen, oder am folgenden Werktag per eMail zugeschickt. Mit der eMail erhältst du nochmals eine Link zu Paypal.";"<span style=""font-family: 'Arial';font-weight: bold;"" >Artikel ausw&auml;hlen<br/></span><span style="""" >Um deine gew&uuml;nschten Artikel zu bestellen, musst du in der jeweiligen Kategorie den gew&uuml;nschten Artikel anklicken. Bei den meisten Artikeln stehen dir mehrere<br/>Farb,- Gr&ouml;&szlig;en- und Mengenangaben zur Verf&uuml;gung, aus denen du ausw&auml;hlen kannst. Anschlie&szlig;end klickst du auf den Button &quot;in den Warenkorb&quot;. &nbsp;<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Verf&uuml;gbarkeit<br/></span><span style="""" >Wenn du einen bestimmten Artikel ausgew&auml;hlt hast, kannst du unter dem Link &quot;Verf&uuml;gbarkeit&quot; erfahren, ob der Artikel in deiner gew&uuml;nschten Farbe und&nbsp;Gr&ouml;&szlig;e verf&uuml;gbar ist, bzw. wie lange die vorr. Lieferzeit betr&auml;gt.<br/>Alle Produkte werden erst mit Ihrer Bestellung von uns individuell bedruckt.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Gr&ouml;&szlig;e ausw&auml;hlen:<br/></span><span style="""" >Viele unserer Artikel kommen von US Herstellern. Deshalb geben wir alle Produkte in US Gr&ouml;&szlig;en an. F&uuml;r Textilen gilt folgende Umrechnung:<br/><br/>Kindergr&ouml;&szlig;en (PeeWee)<br/>YS = 128, YM = 140, YL = 152, YXL = 164<br/>Erwachsenen Gr&ouml;&szlig;en (Adult)<br/>XS = 34, S = 36, M = 38, L = 40, XL = 42<br/><br/>Die Umrechnung f&uuml;r die Schuhe entnehme bitte der entsprechenden Gr&ouml;&szlig;entabelle, <br/>die du bei den einzelnen Modellen findest.<br/>Einige Artikel fallen besonders gro&szlig;- oder klein aus, worauf wir in der Produktbeschreibung explizit hinweisen. Unter der Beschreibung findest du ebenfalls Hinweise zu der Beschaffenheit der Produkte.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Warenkorb<br/></span><span style="""" >Wenn du einen Artikel in den Warenkorb gelegt hast, wirst du automatisch zum Warenkorb weitergeleitet. Hier findest du deine Bestell&uuml;bersicht. <br/>Du kannst&nbsp;entweder auf den Button &quot;weiter shoppen&quot; gehen und weitere Artikel in den Warenkorb legen oder direkt zur Kasse gehen. Im Warenkorb kannst du ebenfalls Produkte direkt aus deinem Warenkorb entfernen. Dein Warenkorb steht dir au&szlig;erdem immer oben rechts unter &quot;Mein Warenkorb&quot; zur Verf&uuml;gung.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Bestellen<br/></span><span style="""" >Bevor der Bestellvorgang abgeschlossen werden kann musst du dich mit deinem vorhandenen Kunden-Account anmelden (Ich habe ein Kundenkonto), oder du erstellst dir einen neuen Kunden-Account. Solltest du dein Kennwort vergessen haben, benutze den Link &bdquo;Kennwort vergessen&ldquo; und wir schicken dir an deine eMail Adresse dein aktuelles Kennwort.<br/>Nach Eingabe der Rechnungs- und Lieferanschrift musst du die Zahlungsweise ausw&auml;hlen. Es stehen dir hier verschiedene M&ouml;glichkeiten zur Verf&uuml;gung. Zudem kannst du in diesem Schritt auch Onlinegutscheine, die wir mit deiner Bestellung einl&ouml;sen sollen, eingeben. Oder du kannst uns direkt eine Nachricht im Feld Bemerkungen schicken, falls du eine Frage zu einem Produkt hast.<br/>Mit dem Button &bdquo;weiter&ldquo; kommst du zur Bestell&uuml;bersicht. &Uuml;berpr&uuml;fe deine Angaben, best&auml;tige das du unsere AGBs gelesen hast und schicke deine Bestellung ab.<br/>Als n&auml;chstes bekommst du automatisch von unserem System eine Best&auml;tigung f&uuml;r den Eingang deiner Bestellung an deine eMail Adresse geschickt. <br/>Bei Zahlungsweise Paypal erfolgt automatisch eine Weiterleitung an Paypal. Bitte beachte, das Online-Gutscheine erst mit der Auftragsbest&auml;tigung ber&uuml;cksichtigt werden.<br/>Die Auftragsbest&auml;tigung wird dir am gleichen, oder am folgenden Werktag per eMail zugeschickt. Mit der eMail erh&auml;ltst du nochmals eine Link zu Paypal.</span>";;1;;https://www.cheercity-shop.de/service/bestellung.html;Alle Infos über den Bestellvorgang im Onlineshop. Größerumrechnung US > EU Größen.;SERVICE & HILFE;1;1;Bestellung
Versandkosten;"Versand
Deine Sendung wird im Regelfall via DHL verschickt. Die Versandkosten inkl. Verpackungskosten werden pauschal berechnet. Wichtigen Informationen inkl. Preise für innerdeutsche als auch für Europasendungen findest du unter dem Link „Versandkosten“ auf den Artikelseiten oder im Warenkorb.

Lieferzeit
Alle Produkte werden von uns erst mit Ihrer Bestellung bedruckt. 
Daher haben auch sofort verfügbare Produkte eine Lieferzeit von ca. 3 - 4 Wertagen
Bei Sonderdrucken 5 - 7 Werktage (z.B. indivuduelle Namen) 

Produkte die nicht ab Lager verfügbar
Campwear ca. 5 - 7 Werktage
Poms ca. 6-8 Wochen
Schuhe ca. 12 Wochen
Uniformen ca. 6-8 Wochen
Teamwear Bodywrappes ca. 2 Wochen
Sonstige Teamwear von US Marken ca. 6 Wochen

Die angegebenen Lieferzeiten für Poms, Schuhe, Uniformen, Teamwear Bodywrappes, Sonstige Teamwear von US Marken bezieht sich auf auf nicht verfügbare bzw. nicht im Shop bestellbare Produkte.

Fehlende Artikel oder falsche Lieferung
Sollte es passieren, das bei deiner Bestellung ein Artikel fehlt oder ein Artikel falsch geliefert wurde, kannst du dich an unseren Kundenservice unter sale@cheercity-shop.de oder an unsere Hotline +49 (0) 911.4777666 (Mo-Fr: 10-13 Uhr und 15-18 Uhr) wenden. Wir werden dir ein DHL-Retourlabel per Email zuschicken und ggf. den richtigen Artikel kostenfrei nachsenden.

Ausverkaufte Artikel:
Sollte ein Artikel aus deiner Bestellung doch einmal kurzfristig ausverkauft sein, erstatten wir dir den Betrag auf die gleiche Zahlungsart, die du für deine Bestellung gewählt hast, zurück.

Versand
Der Versand der Waren erfolgt im Regelfall durch DHL. Die Versandkosten inkl. Verpackungskosten werden pauschal berechnet.  Sonstige Leistungen wie Nachnahmegebühren, Auslandsgebühren etc. sind davon nicht betroffen.
 
Versandkosten (Deutschland)
pauschal für alle Bestellungen 6,90 EUR

Sonstige Gebühren

Internationale Europa
Über unseren Onlineshop kannst du in folgende Länder die Bestellungen liefern lassen.
Österreich, Schweiz*, Polen, Frankreich, Italien, Niederlande, Dänemark, Belgien, Finnland, Schweden, Norwegen*.
Österreich pauschal 9,90 EUR
sonstige Länder 16,90 EUR

*Bei Lieferungen in das Nicht-EU Ausland fallen zusätzliche Zölle und Gebühren an. ";"<span style=""font-family: 'Arial';font-weight: bold;"" >Versand<br/></span><span style="""" >Deine Sendung wird im Regelfall via DHL verschickt.&nbsp;Die Versandkosten inkl. Verpackungskosten werden pauschal berechnet. Wichtigen Informationen inkl. Preise&nbsp;f&uuml;r innerdeutsche als auch f&uuml;r Europasendungen findest du unter dem Link &bdquo;Versandkosten&ldquo; auf den Artikelseiten oder im Warenkorb.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Lieferzeit<br/></span><span style="""" >Alle Produkte werden von uns erst mit Ihrer Bestellung bedruckt. <br/>Daher haben auch sofort verf&uuml;gbare Produkte eine Lieferzeit von ca. 3 - 4 Wertagen<br/>Bei Sonderdrucken 5 - 7 Werktage (z.B. indivuduelle Namen) <br/><br/>Produkte die nicht ab Lager verf&uuml;gbar<br/>Campwear ca. 5 - 7 Werktage<br/>Poms ca. 6-8 Wochen<br/>Schuhe ca. 12 Wochen<br/>Uniformen ca. 6-8 Wochen<br/>Teamwear Bodywrappes ca. 2 Wochen<br/>Sonstige Teamwear von US Marken ca. 6 Wochen<br/><br/>Die angegebenen Lieferzeiten f&uuml;r Poms, Schuhe, Uniformen, Teamwear Bodywrappes, Sonstige Teamwear von US Marken bezieht sich auf auf nicht verf&uuml;gbare bzw. nicht im Shop bestellbare Produkte.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Fehlende Artikel oder falsche Lieferung<br/></span><span style="""" >Sollte es passieren, das bei deiner Bestellung ein Artikel fehlt oder ein Artikel falsch geliefert wurde, kannst du dich an unseren Kundenservice unter sale@cheercity-shop.de oder an unsere Hotline +49 (0) 911.4777666 (Mo-Fr: 10-13 Uhr und 15-18 Uhr) wenden. Wir werden dir ein DHL-Retourlabel per Email zuschicken und ggf. den richtigen Artikel&nbsp;kostenfrei&nbsp;nachsenden.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Ausverkaufte Artikel:<br/></span><span style="""" >Sollte ein Artikel aus deiner Bestellung doch einmal kurzfristig ausverkauft sein, erstatten wir dir den Betrag auf die gleiche Zahlungsart, die du f&uuml;r deine Bestellung gew&auml;hlt hast, zur&uuml;ck.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Versand<br/></span><span style="""" >Der Versand der Waren erfolgt im Regelfall durch DHL. Die Versandkosten inkl. Verpackungskosten werden pauschal berechnet.  Sonstige Leistungen wie Nachnahmegeb&uuml;hren, Auslandsgeb&uuml;hren etc. sind davon nicht betroffen.<br/>&nbsp;<br/>Versandkosten (Deutschland)<br/>pauschal f&uuml;r alle Bestellungen 6,90 EUR<br/><br/>Sonstige Geb&uuml;hren<br/><br/>Internationale Europa<br/>&Uuml;ber unseren Onlineshop kannst du in folgende L&auml;nder die Bestellungen liefern lassen.<br/>&Ouml;sterreich, Schweiz*, Polen, Frankreich, Italien, Niederlande, D&auml;nemark, Belgien, Finnland, Schweden, Norwegen*.<br/>&Ouml;sterreich pauschal 9,90 EUR<br/>sonstige L&auml;nder 16,90 EUR<br/><br/>*Bei Lieferungen in das Nicht-EU Ausland fallen zus&auml;tzliche Z&ouml;lle und Geb&uuml;hren an. </span>";;1;;https://www.cheercity-shop.de/service/versandkosten.html;Wir versenden Mo-Fr. deine Bestellungen mit DHL weltweit.;SERVICE & HILFE;1;2;Versand & Lieferung
Rücksendung;"Du hast Artikel bestellt und jetzt passen sie nicht, es ist die falsche Farbe, oder sie gefallen dir einfach nicht? 
Schade, aber das Zurückschicken ist ganz einfach:

1. Um diese Funktion vollständig nutzen zu können, benötigst du einen Desktop-Rechner. 
Die Downloadfunktion der PDFs funktioniert nicht auf Smartphones.
2. Melde dich an deinem Kundenaccount an.
3. Wähle den Menupunkt ""Meine Bestellungen"" und wähle deine Bestellung aus. 
4. Markiere (mit + und - Tasten) die Artikel die du uns zurücksenden möchtest.
5. Drucke deinen Retoureschein aus und lege diesen deiner Retouresendung bei.

Kosten für Rücksendung
Die Kosten für die Rücksendung trägt der Kunde.

Als Rücksendeart empfehlen wir immer eine Versandart auszuwählen, bei der eine Sendungsverfolgung möglich ist.";"<span style="""" >Du hast Artikel bestellt und jetzt passen sie nicht, es ist die falsche Farbe, oder sie gefallen dir einfach nicht? <br/>Schade, aber das Zur&uuml;ckschicken ist ganz einfach:<br/><br/>1. Um diese Funktion vollst&auml;ndig nutzen zu k&ouml;nnen, ben&ouml;tigst du einen Desktop-Rechner. <br/>Die Downloadfunktion der PDFs funktioniert nicht auf Smartphones.<br/>2. Melde dich an deinem Kundenaccount an.<br/>3. W&auml;hle den Menupunkt &quot;Meine Bestellungen&quot; und w&auml;hle deine Bestellung aus. <br/>4. Markiere (mit + und - Tasten) die Artikel die du uns zur&uuml;cksenden m&ouml;chtest.<br/>5. Drucke deinen Retoureschein aus und lege diesen deiner Retouresendung bei.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Kosten f&uuml;r R&uuml;cksendung<br/></span><span style="""" >Die Kosten f&uuml;r die R&uuml;cksendung tr&auml;gt der Kunde.<br/><br/>Als R&uuml;cksendeart empfehlen wir immer eine Versandart auszuw&auml;hlen, bei der eine Sendungsverfolgung m&ouml;glich ist.</span>";;1;;https://www.cheercity-shop.de/service/rücksendung.html;Ein Artikel passt nicht und du möchtest etwas zurücksenden? Kein Problem. ;SERVICE & HILFE;1;4;Rücksendung
Zahlung;"Während des Bestellvorganges wird deine gewünschte Zahlungsweise abgefragt.
Es stehen dir verschiedene Zahlungsmöglichkeiten zur Verfügung:

Vorkasse
Sicheres Einkaufen auch per Vorkasse - durch unseren kostenlosen Käuferschutz bei Trusted Shop. Der Versand/Produktion der Ware erfolgt nach Zahlungseingang. Der Zahlungseingang wird dir mit einer eMail bestätigt.

Paypal
Nach Abschluss der Bestellung wirst du automatisch an Paypal weitergeleitet. Zudem erhältst du mit deiner Auftragsbestätigung nochmals den Link direkt zu Paypal. Payal Zahlungen sind an sale@cheercity-shop.de zu richten.

Kreditkarte
Wir akzeptieren sowohl VISA als auch Mastercard. Die Buchung des Betrages erfolgt vor Versand deiner Ware. Sollte es mit der Zahlung Probleme geben erhältst du von unserem Salesteam eine Benachrichtigung per eMail.

Rechnung
Bei dieser Zahlungsweise wird immer eine Bonitätsabfrage durch unseren Partner (Creditrefotm) durchgeführt. Abhängig vom Ergebnis der Abfrage gewähren wir eine Zahlung auf Rechnung. Bitte beachte dazu auch die Information in der Auftragsbestätigung.

Bei Erstkunden wird die Zahlungsweise abhängig vom Warenwert angeboten. Nähere Informationen zur Verwendung deiner Daten bei der Bonitätsabfrage findest du auch unter dem Link Datenschutzerklärung.

Zahlungsbedingungen bei Rechnung
Deine Rechnung muss innerhalb von 14 Tagen nach Sendungserhalt bei uns beglichen sein. Zahlungserinnerungen verschicken wir per eMail und postalisch. Um unnötige Kosten zu vermeiden, würden wir uns über eine unaufgeforderte Begleichung der Rechnung innerhalb der 14 Tage-Frist freuen.";"<span style="""" >W&auml;hrend des Bestellvorganges wird deine gew&uuml;nschte Zahlungsweise abgefragt.<br/>Es stehen dir verschiedene Zahlungsm&ouml;glichkeiten zur&nbsp;Verf&uuml;gung:<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Vorkasse<br/></span><span style="""" >Sicheres Einkaufen auch per Vorkasse - durch unseren kostenlosen K&auml;uferschutz bei Trusted Shop. Der Versand/Produktion der Ware erfolgt nach Zahlungseingang. Der Zahlungseingang wird dir mit einer eMail best&auml;tigt.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Paypal<br/></span><span style="""" >Nach Abschluss der Bestellung wirst du automatisch an Paypal weitergeleitet. Zudem erh&auml;ltst du mit deiner Auftragsbest&auml;tigung nochmals den Link direkt zu Paypal. Payal Zahlungen sind an sale@cheercity-shop.de zu richten.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Kreditkarte<br/></span><span style="""" >Wir akzeptieren sowohl VISA als auch Mastercard. Die Buchung des Betrages erfolgt vor Versand deiner Ware. Sollte es mit der Zahlung Probleme geben erh&auml;ltst du von unserem Salesteam eine Benachrichtigung per eMail.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Rechnung<br/></span><span style="""" >Bei dieser Zahlungsweise wird immer eine Bonit&auml;tsabfrage durch unseren Partner (Creditrefotm) durchgef&uuml;hrt. Abh&auml;ngig vom Ergebnis der Abfrage gew&auml;hren wir eine Zahlung auf Rechnung. Bitte beachte dazu auch die Information in der Auftragsbest&auml;tigung.<br/><br/>Bei Erstkunden wird die Zahlungsweise abh&auml;ngig vom Warenwert angeboten. N&auml;here Informationen zur Verwendung deiner Daten bei der Bonit&auml;tsabfrage findest du auch unter dem Link Datenschutzerkl&auml;rung.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Zahlungsbedingungen bei Rechnung<br/></span><span style="""" >Deine Rechnung muss innerhalb von 14 Tagen nach Sendungserhalt bei uns beglichen sein. Zahlungserinnerungen verschicken wir per eMail und postalisch. Um unn&ouml;tige Kosten zu vermeiden, w&uuml;rden wir uns &uuml;ber eine unaufgeforderte Begleichung der Rechnung innerhalb der 14 Tage-Frist freuen.</span>";;1;;https://www.cheercity-shop.de/service/zahlung.html;Vorkasse, Paypal, Kreditkarte oder auf Rechnung. Nutze die vielfältigen Möglichkeiten.;SERVICE & HILFE;1;3;Zahlung
Gutscheine;"Du kannst auch Gutscheine erwerben. Neben dem klassischen Gutschein, der dir per Post zugeschickt wird, kannst du auch Online-Gutscheine kaufen. Bei beiden Gutscheinen erhältst du einen Gutschein-Code, der während der Bestellung im Schritt „Zahlungsweise“ eingetragen werden kann.

Hinweis: Gutscheine werden erst mit dem Versand der Auftragsbestätigung berücksichtigt.
";"<span style="""" >Du kannst auch Gutscheine erwerben. Neben dem klassischen Gutschein, der dir per Post zugeschickt wird, kannst du auch Online-Gutscheine kaufen. Bei beiden Gutscheinen erh&auml;ltst du einen Gutschein-Code, der w&auml;hrend der Bestellung im Schritt &bdquo;Zahlungsweise&ldquo; eingetragen werden kann.<br/><br/>Hinweis: Gutscheine werden erst mit dem Versand der Auftragsbest&auml;tigung ber&uuml;cksichtigt.<br/></span>";;1;;https://www.cheercity-shop.de/service/gutscheine.html;Du suchst ein passendes Geschenk? Wie wäre es mit einem Gutschein aus dem CHEERCITY.shop;SERVICE & HILFE;1;5;Gutscheine
Newsletter;newsletter;"<iframe class=""mj-w-res-iframe"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""https://app.mailjet.com/widget/iframe/7cwb/KMg"" width=""100%""></iframe>

<script type=""text/javascript"" src=""https://app.mailjet.com/statics/js/iframeResizer.min.js""></script>";/newsletter/;1;;/newsletter/;Bleibe;SERVICE & HILFE;;6;Newsletter
cca-champions-club;wede;"<span style="""" >wede</span>";;1;;https://www.germancheeropen.de/cca-champions-club;CCA Champions Club;SERVICE & HILFE;1;7;CCA Champions Club
unternehmen;"CCA CentralCheerleadingAgency

Die CCA CentralCheerleadingAgency wurde 2002 als kleine “Garagenfirma“ in Nürnberg gegründet. CCA ist in den letzten Jahren mit dem Cheerleading-Markt in Deutschland gewachsen. Im Vergleich zu anderen Agenturen ist das Angebotsspektrum sehr vielschichtig und so deckt CCA viele Bereiche der Sportart Cheerleading ab.
Für den Bereich “Firmenkunden“ entwickelt und realisiert CCA individuelle Pakete für spezifische Kundenanforderungen wie z.B. Konzeption, Organisation und Abwicklung von personalgebundenen Promotionaktionen, Werbemittelverkauf und Vermarktung von Cheerleading-Events. Die Dachmarke CCA* unterteilt sich in verschiedene Bereiche:

CHEERCITY.de – das größte Sportportal für Cheerleading in Deutschland, 
CHEERCITY.shop – Mode und Accessoires für Cheerleader, 
CHEERCITY.events – Meisterschaften, Trainingscamps
LEVEL6 - Cheerleader Uniformen, Hairbows

Unser Ziel
Cheerleading wird leider in Deutschland in der Öffentlichkeit oft belächelt. Diese Einstellung beruht oft auf Unwissenheit. Durch unsere Plattformen möchten wir hier einen kleinen Beitrag dazu beisteuern, dass Cheerleading in Zukunft als vollwertige und alternative Sportart angesehen wird.

CCA - Kooperationspartner
Bei unseren Produkten und Dienstleistungen stehen Qualität, kompetente Beratung und eine professionelle Abwicklung an oberster Stelle. Neben unserem kompetenten Team arbeiten wir mit Partnern zusammen, die diesen Anspruch ebenfalls garantieren können.";"<span style=""font-family: 'Arial';font-weight: bold;"" >CCA CentralCheerleadingAgency<br/></span><span style="""" ><br/>Die CCA CentralCheerleadingAgency wurde 2002 als kleine &ldquo;Garagenfirma&ldquo; in N&uuml;rnberg gegr&uuml;ndet. CCA ist in den letzten Jahren mit dem Cheerleading-Markt in Deutschland gewachsen. Im Vergleich zu anderen Agenturen ist das Angebotsspektrum sehr vielschichtig und so deckt CCA viele Bereiche der Sportart Cheerleading ab.<br/>F&uuml;r den Bereich &ldquo;Firmenkunden&ldquo; entwickelt und realisiert CCA individuelle Pakete f&uuml;r spezifische Kundenanforderungen wie z.B. Konzeption, Organisation und Abwicklung von personalgebundenen Promotionaktionen, Werbemittelverkauf und Vermarktung von Cheerleading-Events. Die Dachmarke CCA* unterteilt sich in verschiedene Bereiche:<br/><br/>CHEERCITY.de &ndash; das gr&ouml;&szlig;te Sportportal f&uuml;r Cheerleading in Deutschland, <br/>CHEERCITY.shop &ndash; Mode und Accessoires f&uuml;r Cheerleader, <br/>CHEERCITY.events &ndash; Meisterschaften, Trainingscamps<br/>LEVEL6 - Cheerleader Uniformen, Hairbows<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >Unser Ziel<br/></span><span style="""" >Cheerleading wird leider in Deutschland in der &Ouml;ffentlichkeit oft bel&auml;chelt. Diese Einstellung beruht oft auf Unwissenheit. Durch unsere Plattformen m&ouml;chten wir hier einen kleinen Beitrag dazu beisteuern, dass Cheerleading in Zukunft als vollwertige und alternative Sportart angesehen wird.<br/><br/></span><span style=""font-family: 'Arial';font-weight: bold;"" >CCA - Kooperationspartner<br/></span><span style="""" >Bei unseren Produkten und Dienstleistungen stehen Qualit&auml;t, kompetente Beratung und eine professionelle Abwicklung an oberster Stelle. Neben unserem kompetenten Team arbeiten wir mit Partnern zusammen, die diesen Anspruch ebenfalls garantieren k&ouml;nnen.</span>";;1;;https://www.cheercity-shop.de/service/unternehmen.html;Der CHEERCITY.shop ist eine Marke der CCA CentralCheerleading Agency e.K. in Nürnberg.;CHEERCITY.SHOP;1;;Unternehmen
Impressum;"CCA CentralCheerleadingAgency e.K.
Inhaber: Holger Schmidt
Hans-Bunte-Straße 41
90431 Nürnberg, Deutschland

Telefon: 09114777666 
WhatsApp: wa.me/4916098760135
E-Mail: sale(a)cheercity-shop.de


Handelsregister: Amtsgericht Nürnberg, HRA 13866
Umsatzsteuer-Identifikationsnummer: DE 235580695

Die Europäische Kommission stellt eine Plattform zur Online-Streitbeilegung (OS) bereit, die Sie hier finden https://ec.europa.eu/taxation_customs/. 
Wir sind bereit, an einem außergerichtlichen Schlichtungsverfahren vor einer Verbraucherschlichtungsstelle teilzunehmen. 
Zuständig ist die Allgemeine Verbraucherschlichtungsstelle des Zentrums für Schlichtung e.V., Straßburger Straße 8, 77694 Kehl am Rhein, www.verbraucher-schlichter.de.";"<span style=""font-family: 'Arial';font-weight: bold;"" >CCA CentralCheerleadingAgency e.K.<br/></span><span style="""" >Inhaber: Holger Schmidt<br/>Hans-Bunte-Stra&szlig;e 41<br/>90431 N&uuml;rnberg, Deutschland<br/><br/>Telefon: 09114777666 <br/>WhatsApp: wa.me/4916098760135<br/>E-Mail: </span><span style=""font-family: 'Arial';font-weight: bold;"" >sale(a)cheercity-shop.de</span><span style="""" ><br/><br/><br/>Handelsregister: Amtsgericht N&uuml;rnberg, HRA 13866<br/>Umsatzsteuer-Identifikationsnummer: DE 235580695<br/><br/>Die Europ&auml;ische Kommission stellt eine Plattform zur Online-Streitbeilegung (OS) bereit, die Sie hier finden https://ec.europa.eu/taxation_customs/. <br/>Wir sind bereit, an einem au&szlig;ergerichtlichen Schlichtungsverfahren vor einer Verbraucherschlichtungsstelle teilzunehmen. <br/>Zust&auml;ndig ist die Allgemeine Verbraucherschlichtungsstelle des Zentrums f&uuml;r Schlichtung e.V., Stra&szlig;burger Stra&szlig;e 8, 77694 Kehl am Rhein, www.verbraucher-schlichter.de.</span>";;1;;https://www.cheercity-shop.de/service/impressum.html;Alle wichtigen rechtlichen Informationen über unseren Shop auf einen Blick.;CHEERCITY.SHOP;1;;Impressum
Jobs;Jobs;"<span style="""" >Jobs</span>";;1;;https://www.cheercity-shop.de/service/jobs.html;Jobs;CHEERCITY.SHOP;;;Jobs
